year,country,internet_users_pct
2019,Hong Kong,91.7
2020,Hong Kong,92.4
2021,Hong Kong,93.1
2022,Hong Kong,95.6
2019,Indonesia,47.7
2020,Indonesia,53.7
2021,Indonesia,62.1
2022,Indonesia,66.5
2019,Japan,92.7
2020,Japan,90.2
2021,Japan,82.9
2022,Japan,84.9
2019,Malaysia,84.2
2020,Malaysia,89.6
2021,Malaysia,96.8
2022,Malaysia,97.4
2019,Singapore,88.9
2020,Singapore,92.0
2021,Singapore,96.9
2022,Singapore,96.0
2019,South Korea,96.2
2020,South Korea,96.5
2021,South Korea,97.6
2022,South Korea,97.2
2019,Thailand,66.7
2020,Thailand,77.8
2021,Thailand,85.3
2022,Thailand,88.0
