state,internet_access_pct,computer_access_pct,mobile_phone_pct,pay_tv_pct,television_pct,radio_pct,fixed_line_pct
W.P. Kuala Lumpur,100.0,99.77,100.0,67.04,100.0,100.0,43.57
W.P. Putrajaya,100.0,100.0,100.0,65.5,100.0,100.0,55.0
W.P. Labuan,99.7,97.28,99.55,86.75,100.0,99.7,37.8
Pulau Pinang,99.67,96.37,99.87,73.85,99.84,99.89,29.79
Selangor,99.52,96.42,99.88,68.28,99.87,99.86,29.77
Johor,98.97,93.06,99.37,63.55,99.7,99.9,31.17
Melaka,96.77,92.61,99.88,77.3,99.96,99.96,54.12
Negeri Sembilan,96.44,90.28,99.62,77.31,99.98,99.75,49.16
Kedah,96.35,86.8,99.34,57.35,99.44,99.7,16.33
Perlis,96.22,89.93,99.64,67.52,99.48,100.0,35.38
Pahang,95.78,88.55,99.44,76.63,99.19,99.72,22.34
Perak,95.63,91.42,99.3,75.87,99.48,98.29,20.52
Terengganu,95.2,90.3,98.79,69.73,99.82,99.91,23.95
Kelantan,94.94,88.09,99.25,56.7,99.21,99.63,16.78
Sarawak,91.05,88.73,98.08,62.98,98.59,98.04,17.47
Sabah,91.01,84.37,99.46,58.2,98.11,98.43,18.01
